,Dt_Customer,Age,Marital_Status,total_number_of_children,Income,total_spending,total_number_of_purches,NumDealsPurchases,first_day,day_engaged
1201,2013-01-25,55,relationship,1,58113,758,22,3,2015-01-01,706
1202,2013-12-31,56,relationship,1,51412,195,11,2,2015-01-01,366
1203,2012-10-10,35,Single,1,15287,31,6,2,2015-01-01,813
1204,2013-08-17,57,relationship,0,66636,1084,17,1,2015-01-01,502
1205,2013-02-20,58,relationship,1,50965,685,22,3,2015-01-01,680
1206,2013-11-22,49,relationship,0,84618,1672,26,1,2015-01-01,405
1207,2013-10-29,24,relationship,0,18351,43,6,1,2015-01-01,429
1208,2014-02-16,57,relationship,2,40451,49,5,1,2015-01-01,319
1209,2013-05-22,49,relationship,1,36317,133,9,2,2015-01-01,589
1210,2013-12-10,57,relationship,1,42213,363,15,2,2015-01-01,387
1211,2013-04-15,59,relationship,1,65748,545,18,2,2015-01-01,626
1212,2013-10-27,42,relationship,1,77044,1065,31,2,2015-01-01,431
1213,2013-12-03,45,relationship,0,74918,2047,21,1,2015-01-01,394
1214,2012-10-31,42,relationship,2,56721,296,15,5,2015-01-01,792
1215,2013-06-28,39,Single,2,42160,140,11,4,2015-01-01,552
1216,2013-07-17,49,Single,1,61559,530,17,1,2015-01-01,533
1217,2012-08-08,51,relationship,2,33629,152,13,5,2015-01-01,876
1218,2013-06-10,23,relationship,0,68682,1598,24,1,2015-01-01,570
1219,2013-01-19,51,Single,1,34377,114,8,2,2015-01-01,712
1220,2012-08-22,28,Single,1,8940,101,10,3,2015-01-01,862
1221,2013-09-22,41,relationship,1,26228,25,4,1,2015-01-01,466
1222,2013-01-26,57,Single,0,77297,789,22,1,2015-01-01,705
1223,2013-07-30,33,relationship,2,40211,87,7,2,2015-01-01,520
1224,2013-09-22,56,Single,2,33438,90,11,4,2015-01-01,466
1225,2013-04-28,55,relationship,1,75032,1215,20,2,2015-01-01,613
1226,2013-12-10,59,Single,0,61284,811,22,1,2015-01-01,387
1227,2012-10-22,28,relationship,1,22518,61,7,2,2015-01-01,801
1228,2013-08-15,39,relationship,1,54730,405,18,5,2015-01-01,504
1229,2014-03-30,59,relationship,2,38452,72,9,3,2015-01-01,277
1230,2013-02-15,43,Single,2,44421,189,14,5,2015-01-01,685
1231,2013-06-29,28,relationship,1,38197,40,5,1,2015-01-01,551
1232,2014-09-02,36,Single,1,41986,63,10,3,2015-01-01,121
1233,2013-03-21,31,relationship,1,28427,52,7,2,2015-01-01,651
1234,2014-02-05,38,relationship,1,37395,39,5,1,2015-01-01,330
1235,2014-05-26,43,relationship,1,64722,805,25,4,2015-01-01,220
1236,2014-04-17,58,relationship,1,55249,130,8,1,2015-01-01,259
1237,2013-04-10,42,relationship,0,84906,1631,24,1,2015-01-01,631
1238,2013-04-07,25,relationship,1,28691,34,5,1,2015-01-01,634
1239,2013-11-29,62,Single,2,44213,152,12,4,2015-01-01,398
1240,2014-01-18,30,Single,1,25707,21,5,1,2015-01-01,348
1241,2013-03-10,47,relationship,3,59062,71,7,2,2015-01-01,662
1242,2014-05-24,52,Single,1,76624,899,23,1,2015-01-01,222
1243,2014-04-20,67,relationship,0,66000,711,10,1,2015-01-01,256
1244,2012-04-08,36,relationship,1,27683,351,16,4,2015-01-01,998
1245,2014-05-18,43,Single,0,1730,8,15,15,2015-01-01,228
1246,2012-03-12,22,Single,1,7500,119,11,4,2015-01-01,1025
1247,2013-05-04,46,relationship,2,40521,21,4,1,2015-01-01,607
1248,2014-03-24,41,relationship,1,20427,10,4,1,2015-01-01,283
1249,2014-05-24,39,relationship,1,65106,973,27,3,2015-01-01,222
1250,2013-08-27,49,relationship,0,69969,1536,13,1,2015-01-01,492
1251,2013-07-16,62,relationship,2,67433,992,28,4,2015-01-01,534
1252,2013-02-22,47,relationship,1,77766,1529,34,2,2015-01-01,678
1253,2013-12-09,42,relationship,1,74716,860,17,2,2015-01-01,388
1254,2013-10-18,51,Single,1,68118,928,23,2,2015-01-01,440
1255,2012-07-30,44,relationship,2,55158,418,18,4,2015-01-01,885
1256,2012-03-08,59,relationship,1,62972,587,16,2,2015-01-01,1029
1257,2014-12-05,39,relationship,1,74190,641,19,2,2015-01-01,27
1258,2014-03-19,38,relationship,2,39356,23,4,1,2015-01-01,288
1259,2013-08-16,45,relationship,0,76653,2279,23,1,2015-01-01,503
1260,2014-05-19,41,Single,2,35860,49,6,2,2015-01-01,227
1261,2013-05-22,31,Single,0,90687,1779,17,1,2015-01-01,589
1262,2013-05-12,32,relationship,0,73450,1804,27,1,2015-01-01,599
1263,2013-06-07,54,relationship,2,31454,48,8,3,2015-01-01,573
1264,2014-06-03,62,Single,2,47139,83,7,2,2015-01-01,212
1265,2013-08-10,39,Single,0,83829,1862,17,0,2015-01-01,509
1266,2012-09-24,51,relationship,2,53378,793,29,10,2015-01-01,829
1267,2013-08-02,44,relationship,1,19656,84,9,3,2015-01-01,517
1268,2013-08-20,66,relationship,1,45579,183,10,1,2015-01-01,499
1269,2014-06-21,56,Single,0,85485,1383,19,1,2015-01-01,194
1270,2014-07-04,70,relationship,0,55956,999,16,2,2015-01-01,181
1271,2013-01-22,51,Single,1,64191,825,24,3,2015-01-01,709
1272,2012-08-26,42,Single,1,38808,246,14,4,2015-01-01,858
1273,2013-03-19,48,relationship,2,57183,610,25,8,2015-01-01,653
1274,2012-11-21,46,Single,1,23748,76,9,3,2015-01-01,771
1275,2013-02-26,43,relationship,1,66303,1286,22,4,2015-01-01,674
1276,2013-12-16,39,relationship,1,37368,30,4,1,2015-01-01,381
1277,2013-01-01,50,relationship,3,40800,99,8,2,2015-01-01,730
1278,2012-09-21,36,Single,0,71847,1192,22,0,2015-01-01,832
1279,2013-11-29,39,relationship,1,46149,362,18,5,2015-01-01,398
1280,2012-09-08,31,relationship,0,78687,2130,19,1,2015-01-01,845
1281,2012-08-18,43,Single,0,49118,1229,28,2,2015-01-01,866
1282,2012-09-20,57,relationship,2,37633,38,6,2,2015-01-01,833
1283,2013-07-21,63,relationship,0,39767,485,17,2,2015-01-01,529
1284,2012-05-11,63,relationship,0,26997,434,13,2,2015-01-01,965
1285,2013-03-14,44,Single,1,33986,44,5,1,2015-01-01,658
1286,2012-11-23,42,relationship,1,57091,496,18,2,2015-01-01,769
1287,2013-08-06,45,relationship,2,46831,78,7,2,2015-01-01,513
1288,2013-10-02,42,relationship,0,83151,2346,23,1,2015-01-01,456
1289,2012-12-30,43,relationship,0,52531,794,21,2,2015-01-01,732
1290,2013-05-09,58,relationship,0,15759,17,4,1,2015-01-01,602
1291,2013-07-31,43,Single,1,22804,26,5,1,2015-01-01,519
1292,2014-03-18,41,relationship,1,43050,76,8,2,2015-01-01,289
1293,2013-07-12,37,Single,2,42997,15,4,1,2015-01-01,538
1294,2014-12-04,51,Single,2,48918,62,7,2,2015-01-01,28
1295,2014-03-29,60,relationship,1,60033,198,10,2,2015-01-01,278
1296,2013-10-25,36,relationship,1,34043,49,5,1,2015-01-01,433
1297,2013-06-24,48,relationship,1,57811,802,25,5,2015-01-01,556
1298,2014-02-19,68,relationship,0,78569,1736,15,1,2015-01-01,316
1299,2012-12-27,36,Single,2,7500,57,10,4,2015-01-01,735
1300,2013-04-06,43,relationship,1,157733,59,2,0,2015-01-01,635
1301,2013-04-03,61,relationship,0,94384,2302,18,0,2015-01-01,638
1302,2014-02-18,29,relationship,0,23148,37,6,1,2015-01-01,317
1303,2013-02-25,44,Single,2,44267,310,16,5,2015-01-01,675
1304,2012-01-11,35,relationship,0,71626,1305,19,1,2015-01-01,1086
1305,2013-06-28,48,relationship,1,60894,832,26,5,2015-01-01,552
1306,2013-03-04,38,relationship,2,50200,401,19,6,2015-01-01,668
1307,2014-05-23,49,relationship,0,81051,1501,23,1,2015-01-01,223
1308,2014-01-14,32,relationship,0,65169,1189,28,1,2015-01-01,352
1309,2013-07-22,42,relationship,1,59868,1194,32,7,2015-01-01,528
1310,2014-01-31,54,relationship,1,65695,656,21,2,2015-01-01,335
1311,2012-11-23,58,Single,0,64857,1540,23,1,2015-01-01,769
1312,2013-08-26,49,relationship,1,45143,311,15,3,2015-01-01,493
1313,2013-06-11,59,relationship,1,74805,820,26,5,2015-01-01,569
1314,2014-11-01,25,relationship,1,59060,274,14,3,2015-01-01,61
1315,2013-04-20,52,Single,2,27238,57,9,3,2015-01-01,621
1316,2013-01-10,49,relationship,1,47009,448,17,4,2015-01-01,721
1317,2014-10-06,41,relationship,2,46094,44,5,1,2015-01-01,87
1318,2013-07-29,42,relationship,2,40321,102,8,2,2015-01-01,521
1319,2014-01-02,30,relationship,1,37235,61,5,1,2015-01-01,364
1320,2013-04-22,54,relationship,0,81843,1643,27,1,2015-01-01,619
1321,2013-06-06,56,relationship,1,46692,397,15,3,2015-01-01,574
1322,2014-07-01,46,relationship,1,77382,1121,26,2,2015-01-01,184
1323,2012-03-09,37,Single,2,37774,473,16,4,2015-01-01,1028
1324,2014-03-29,40,relationship,1,18393,50,8,2,2015-01-01,278
1325,2013-02-14,52,relationship,1,72828,1678,28,6,2015-01-01,686
1326,2014-04-18,32,relationship,0,24711,58,7,1,2015-01-01,258
1327,2013-09-25,39,relationship,1,45503,170,9,1,2015-01-01,463
1328,2013-12-12,32,Single,0,6560,373,2,0,2015-01-01,385
1329,2013-11-17,69,relationship,0,71604,1196,17,1,2015-01-01,410
1330,2014-07-03,35,relationship,1,27244,101,8,2,2015-01-01,182
1331,2012-12-12,45,relationship,2,48752,316,17,5,2015-01-01,750
1332,2013-09-18,52,relationship,1,71434,1400,21,3,2015-01-01,470
1333,2013-07-29,66,Single,0,90842,1424,27,1,2015-01-01,521
1334,2012-08-18,36,relationship,1,88097,844,20,1,2015-01-01,866
1335,2013-09-17,39,relationship,1,51948,311,13,2,2015-01-01,471
1336,2013-08-05,32,relationship,0,71853,1149,17,1,2015-01-01,514
1337,2014-04-20,31,relationship,0,35876,129,8,1,2015-01-01,256
1338,2013-10-16,62,Single,1,40049,32,5,1,2015-01-01,442
1339,2012-08-08,32,Single,1,39660,299,14,3,2015-01-01,876
1340,2014-05-29,52,relationship,1,50127,320,13,1,2015-01-01,217
1341,2012-11-21,37,relationship,1,43263,441,16,3,2015-01-01,771
1342,2012-01-10,65,relationship,2,62845,1178,28,11,2015-01-01,1087
1343,2013-02-16,24,relationship,0,18929,85,6,1,2015-01-01,684
1344,2013-03-20,32,Single,1,24367,24,4,1,2015-01-01,652
1345,2013-02-20,39,Single,1,33249,112,8,2,2015-01-01,680
1346,2013-10-02,55,relationship,1,26887,30,5,1,2015-01-01,456
1347,2013-06-20,31,relationship,0,50150,410,16,2,2015-01-01,560
1348,2013-08-31,38,relationship,1,62061,800,24,3,2015-01-01,488
1349,2013-03-05,52,Single,0,85696,1313,20,1,2015-01-01,667
1350,2013-03-30,58,relationship,0,76542,1483,23,1,2015-01-01,642
1351,2013-10-21,21,Single,0,70515,1258,17,1,2015-01-01,437
1352,2012-08-11,27,relationship,1,18227,28,4,1,2015-01-01,873
1353,2014-01-27,49,relationship,1,69139,227,11,1,2015-01-01,339
1354,2012-09-11,32,relationship,0,69109,1555,20,1,2015-01-01,842
1355,2013-03-17,52,Single,1,69627,861,23,2,2015-01-01,655
1356,2013-04-22,36,relationship,1,38136,103,8,2,2015-01-01,619
1357,2014-04-28,68,Single,0,62159,634,19,1,2015-01-01,248
1358,2013-12-29,51,Single,0,80695,1918,19,1,2015-01-01,368
1359,2013-04-10,43,Single,2,33316,131,10,3,2015-01-01,631
1360,2012-09-26,46,relationship,2,58554,586,22,6,2015-01-01,827
1361,2013-11-23,22,relationship,1,17256,62,7,2,2015-01-01,404
1362,2013-05-30,40,Single,2,53034,447,22,8,2015-01-01,581
1363,2012-07-31,64,relationship,0,52203,939,27,1,2015-01-01,884
1364,2013-07-25,37,Single,1,59601,797,15,4,2015-01-01,525
1365,2012-04-09,56,Single,1,75154,1143,16,1,2015-01-01,997
1366,2013-07-11,38,Single,1,47025,415,17,3,2015-01-01,539
1367,2013-11-25,41,relationship,1,37971,30,5,1,2015-01-01,402
1368,2013-12-26,46,Single,1,41335,187,12,3,2015-01-01,371
1369,2014-05-13,56,relationship,1,67267,251,11,1,2015-01-01,233
1370,2014-04-29,39,Single,1,57338,237,12,2,2015-01-01,247
1371,2013-12-25,54,relationship,2,50523,91,8,2,2015-01-01,372
1372,2013-06-05,49,Single,3,35791,35,6,2,2015-01-01,575
1373,2012-04-10,54,Single,1,50611,493,22,6,2015-01-01,996
1374,2013-03-03,45,relationship,1,56242,971,28,5,2015-01-01,669
1375,2012-02-12,54,Single,1,48904,371,17,4,2015-01-01,1054
1376,2013-12-30,39,Single,3,56243,396,20,6,2015-01-01,367
1377,2013-08-20,29,relationship,1,21355,68,7,2,2015-01-01,499
1378,2013-06-25,43,relationship,1,57420,322,15,3,2015-01-01,555
1380,2014-05-05,59,Single,1,46390,222,10,1,2015-01-01,241
1381,2013-03-07,58,relationship,2,54342,177,12,4,2015-01-01,665
1384,2012-06-10,41,relationship,1,20895,45,6,1,2015-01-01,935
1385,2014-01-15,66,relationship,0,92344,1899,20,0,2015-01-01,351
1387,2013-08-20,38,relationship,2,26907,22,6,2,2015-01-01,499
1388,2012-12-16,34,relationship,2,44964,41,5,1,2015-01-01,746
1389,2014-02-05,35,relationship,0,75507,1440,21,1,2015-01-01,330
1390,2013-11-10,42,relationship,2,53761,325,17,6,2015-01-01,417
1391,2013-03-10,41,relationship,1,22682,95,10,3,2015-01-01,662
1392,2014-02-03,42,relationship,1,38887,42,5,1,2015-01-01,332
1393,2012-09-11,39,Single,2,41658,72,6,2,2015-01-01,842
1394,2014-05-15,42,relationship,1,29791,20,7,2,2015-01-01,231
1395,2013-07-30,58,relationship,2,63915,789,23,2,2015-01-01,520
1396,2014-05-22,40,Single,2,39996,15,4,1,2015-01-01,224
1397,2014-07-02,42,Single,1,26759,59,8,2,2015-01-01,183
1398,2013-04-21,46,Single,1,63841,908,22,1,2015-01-01,620
1399,2012-10-12,45,relationship,2,51039,417,14,2,2015-01-01,811
1400,2012-08-25,53,relationship,2,60544,289,15,4,2015-01-01,859
1401,2014-03-29,42,relationship,1,65685,769,21,1,2015-01-01,278
1402,2014-04-21,61,relationship,1,37716,188,10,2,2015-01-01,255
1403,2012-08-13,57,Single,1,36864,354,14,3,2015-01-01,871
1404,2012-12-10,44,relationship,1,44511,727,26,6,2015-01-01,752
1405,2012-07-08,47,relationship,2,36947,146,11,4,2015-01-01,907
1406,2013-11-04,63,relationship,1,47352,319,16,4,2015-01-01,423
1407,2013-12-17,61,relationship,1,67087,794,22,2,2015-01-01,380
1408,2012-08-09,64,relationship,1,57045,454,18,3,2015-01-01,875
1409,2012-06-09,61,Single,2,36957,152,11,4,2015-01-01,936
1410,2012-09-28,37,relationship,1,69389,797,22,1,2015-01-01,825
1411,2013-05-20,42,relationship,1,80134,1690,16,2,2015-01-01,591
1412,2014-02-18,45,relationship,2,43142,20,4,1,2015-01-01,317
1413,2014-01-22,70,relationship,0,80589,1428,21,1,2015-01-01,344
1414,2013-02-13,24,Single,1,34412,209,11,3,2015-01-01,687
1415,2013-10-06,35,Single,1,57537,545,19,4,2015-01-01,452
1416,2013-01-16,48,relationship,0,22634,96,6,1,2015-01-01,715
1417,2014-02-23,66,relationship,0,51315,222,10,1,2015-01-01,312
1418,2014-03-16,42,relationship,3,36026,61,7,2,2015-01-01,291
1419,2014-01-28,41,relationship,2,24639,44,9,3,2015-01-01,338
1420,2014-11-04,42,relationship,3,34578,8,4,1,2015-01-01,58
1421,2013-10-13,42,Single,0,65704,817,23,1,2015-01-01,445
1422,2012-11-11,48,Single,1,63810,1371,23,4,2015-01-01,781
1423,2014-02-16,45,relationship,1,54132,42,5,1,2015-01-01,319
1424,2012-12-28,55,relationship,0,18690,60,5,1,2015-01-01,734
1425,2013-04-05,44,relationship,1,28164,78,9,3,2015-01-01,636
1426,2013-04-13,40,relationship,1,34596,23,4,1,2015-01-01,628
1427,2013-09-16,42,relationship,1,43269,19,4,1,2015-01-01,472
1428,2014-03-30,56,Single,2,38741,61,7,2,2015-01-01,277
1429,2013-04-03,42,Single,0,31907,449,14,1,2015-01-01,638
1430,2013-05-04,31,relationship,1,27100,37,5,1,2015-01-01,607
1431,2014-02-13,41,Single,1,31163,38,5,1,2015-01-01,322
1432,2013-12-19,29,relationship,0,92533,1131,23,1,2015-01-01,378
1433,2013-12-23,41,Single,2,34853,34,7,2,2015-01-01,374
1434,2013-10-30,47,Single,2,70844,294,17,5,2015-01-01,428
1435,2013-04-05,35,relationship,2,31086,48,6,2,2015-01-01,636
1436,2012-08-25,53,relationship,2,60544,289,15,4,2015-01-01,859
1437,2013-01-25,28,relationship,0,20491,30,4,1,2015-01-01,706
1438,2014-04-23,50,relationship,0,42523,125,7,1,2015-01-01,253
1439,2013-02-14,31,relationship,1,39922,156,9,2,2015-01-01,686
1440,2013-07-18,62,relationship,2,33402,70,9,3,2015-01-01,532
1441,2013-09-21,65,relationship,2,36408,22,4,1,2015-01-01,467
1442,2012-03-09,35,relationship,1,21645,65,9,3,2015-01-01,1028
1443,2012-10-24,66,Single,0,78427,1930,23,3,2015-01-01,799
1444,2013-09-27,68,relationship,0,82657,2283,23,1,2015-01-01,461
1445,2013-10-15,56,relationship,0,51876,310,13,1,2015-01-01,443
1446,2012-12-16,43,relationship,0,78041,1319,18,1,2015-01-01,746
1447,2012-01-12,57,relationship,1,52852,879,26,4,2015-01-01,1085
1448,2013-10-25,32,relationship,0,70038,1244,17,1,2015-01-01,433
1449,2014-03-23,41,relationship,1,69401,690,17,4,2015-01-01,284
1450,2013-02-17,42,relationship,1,46053,209,12,3,2015-01-01,683
1451,2014-09-06,49,relationship,0,77343,1134,17,1,2015-01-01,117
1452,2013-11-13,61,Single,0,73892,1507,23,1,2015-01-01,414
1453,2013-09-30,47,Single,1,40304,57,6,1,2015-01-01,458
1454,2012-08-28,49,relationship,0,32727,529,17,2,2015-01-01,856
1455,2014-06-25,45,relationship,0,68695,1091,16,1,2015-01-01,190
1456,2012-10-13,43,Single,1,43300,180,11,3,2015-01-01,810
1457,2013-12-01,42,relationship,2,26290,77,10,4,2015-01-01,396
1458,2014-12-02,44,Single,0,93790,2349,25,0,2015-01-01,30
1459,2012-09-14,40,relationship,0,38410,534,18,2,2015-01-01,839
1460,2014-01-26,64,Single,1,64866,556,21,4,2015-01-01,340
1461,2013-08-19,55,relationship,1,57957,637,25,7,2015-01-01,500
1462,2014-04-13,59,relationship,2,46015,46,5,1,2015-01-01,263
1463,2014-06-18,36,relationship,1,16531,44,9,3,2015-01-01,197
1464,2013-08-07,28,relationship,1,28072,47,5,1,2015-01-01,512
1465,2013-06-20,51,Single,1,49476,795,22,4,2015-01-01,560
1466,2013-02-13,61,relationship,1,50725,586,21,4,2015-01-01,687
1467,2013-12-05,62,relationship,0,83844,1574,20,1,2015-01-01,392
1468,2014-08-02,64,relationship,2,41145,13,4,1,2015-01-01,152
1469,2013-01-16,44,relationship,1,67419,1471,25,4,2015-01-01,715
1470,2013-12-21,44,relationship,2,23162,65,8,3,2015-01-01,376
1471,2013-02-05,37,relationship,1,34380,175,12,4,2015-01-01,695
1472,2013-04-27,48,Single,1,34704,40,5,1,2015-01-01,614
1473,2012-01-09,45,relationship,2,94871,1078,18,1,2015-01-01,1088
1474,2012-11-16,56,relationship,1,65148,1115,21,2,2015-01-01,776
1475,2013-12-02,60,relationship,1,39898,134,9,2,2015-01-01,395
1476,2012-11-23,58,Single,0,64857,1540,23,1,2015-01-01,769
1477,2013-02-11,44,relationship,1,59892,87,7,1,2015-01-01,689
1478,2013-10-28,27,Single,0,41020,217,10,1,2015-01-01,430
1479,2014-01-24,53,relationship,1,57072,1034,27,2,2015-01-01,342
1480,2013-01-04,35,Single,1,60474,1180,31,7,2015-01-01,727
1481,2012-08-31,54,relationship,1,62807,819,23,3,2015-01-01,853
1482,2013-10-16,33,relationship,1,19414,32,5,1,2015-01-01,442
1483,2013-08-22,34,relationship,1,19107,46,6,2,2015-01-01,497
1484,2012-02-08,38,relationship,1,75484,1159,18,2,2015-01-01,1058
1485,2013-03-03,38,Single,1,70379,860,25,3,2015-01-01,669
1486,2014-06-22,44,relationship,0,79419,1631,15,1,2015-01-01,193
1487,2014-10-06,68,relationship,3,64014,444,22,7,2015-01-01,87
1488,2013-11-01,59,relationship,1,76998,1910,29,2,2015-01-01,426
1489,2013-10-11,42,relationship,1,49854,380,18,5,2015-01-01,447
1490,2013-06-24,43,relationship,2,60585,736,30,10,2015-01-01,556
1491,2013-01-21,64,Single,2,42873,269,15,4,2015-01-01,710
1492,2013-07-27,26,relationship,0,87679,2524,29,1,2015-01-01,523
1493,2013-01-10,36,relationship,1,57867,612,25,7,2015-01-01,721
1494,2013-11-12,24,relationship,1,35765,75,8,2,2015-01-01,415
1495,2014-01-26,55,relationship,0,65492,1045,26,2,2015-01-01,340
1496,2013-01-12,37,Single,1,32952,55,6,1,2015-01-01,719
1497,2012-08-16,45,relationship,1,53374,1064,21,6,2015-01-01,868
1498,2012-11-13,55,relationship,1,71706,1443,25,4,2015-01-01,779
1499,2013-01-13,26,relationship,0,68487,1366,30,1,2015-01-01,718
1500,2013-11-02,39,relationship,2,53253,436,19,7,2015-01-01,425
1501,2014-02-13,41,Single,1,31163,38,5,1,2015-01-01,322
1502,2012-08-17,37,relationship,1,42014,436,20,6,2015-01-01,867
1503,2012-05-11,41,relationship,2,54108,747,32,13,2015-01-01,965
1504,2012-08-20,59,Single,0,49667,1396,22,2,2015-01-01,864
1505,2014-03-20,40,relationship,0,63206,928,14,1,2015-01-01,287
1506,2013-09-07,42,relationship,2,57136,642,26,9,2015-01-01,481
1507,2012-07-11,39,relationship,1,46772,1048,30,6,2015-01-01,904
1508,2013-10-25,43,relationship,0,78931,943,24,1,2015-01-01,433
1509,2013-08-06,56,relationship,1,53977,907,27,5,2015-01-01,513
1510,2014-02-02,26,relationship,0,84219,1198,18,1,2015-01-01,333
1511,2012-08-18,39,Single,2,46098,120,11,4,2015-01-01,866
1512,2012-11-25,49,relationship,1,73538,1658,26,3,2015-01-01,767
1513,2014-04-27,28,relationship,0,79529,1638,22,1,2015-01-01,249
1514,2013-04-30,37,relationship,0,20981,73,7,1,2015-01-01,611
1515,2014-11-03,34,Single,1,51766,275,12,2,2015-01-01,59
1516,2012-11-28,52,relationship,1,55759,854,26,5,2015-01-01,764
1517,2013-09-09,36,relationship,1,33039,78,7,1,2015-01-01,479
1518,2013-09-20,42,relationship,1,37787,106,7,1,2015-01-01,468
1519,2012-11-11,44,Single,1,27242,106,7,2,2015-01-01,781
1520,2013-03-06,31,Single,0,87188,1923,19,1,2015-01-01,666
1521,2013-05-26,43,relationship,0,69930,1662,22,1,2015-01-01,585
1522,2014-07-02,38,Single,1,37697,84,7,1,2015-01-01,183
1523,2014-06-05,41,relationship,1,37401,48,7,2,2015-01-01,210
1524,2013-04-13,41,Single,1,3502,5,0,0,2015-01-01,628
1525,2012-11-20,38,relationship,2,58597,733,32,12,2015-01-01,772
1526,2014-05-04,66,Single,0,82032,1234,17,0,2015-01-01,242
1527,2012-11-12,56,relationship,2,28087,112,9,3,2015-01-01,780
1528,2014-02-24,27,Single,0,74004,1658,15,1,2015-01-01,311
1529,2013-03-24,54,relationship,1,19740,55,7,2,2015-01-01,648
1530,2012-11-12,39,relationship,1,57036,1513,26,4,2015-01-01,780
1531,2013-05-15,56,relationship,2,53083,271,17,6,2015-01-01,596
1532,2014-06-14,39,relationship,1,69283,904,27,4,2015-01-01,201
1533,2012-08-18,39,Single,2,46098,120,11,4,2015-01-01,866
1534,2012-04-09,26,relationship,1,23331,103,8,2,2015-01-01,997
1535,2012-05-10,26,Single,1,23331,269,17,6,2015-01-01,966
1536,2013-12-20,25,Single,1,9255,22,5,1,2015-01-01,377
1537,2013-07-12,55,Single,0,67786,1156,16,1,2015-01-01,538
1538,2012-10-16,43,relationship,1,71969,1086,19,3,2015-01-01,807
1539,2013-12-01,47,Single,1,59235,1128,28,3,2015-01-01,396
1540,2014-03-28,25,relationship,1,31928,72,9,2,2015-01-01,279
1541,2013-08-03,53,relationship,2,74881,964,27,4,2015-01-01,516
1542,2012-11-29,36,relationship,0,65819,1383,20,1,2015-01-01,763
1543,2013-05-26,61,Single,3,51411,18,4,1,2015-01-01,585
1544,2012-08-31,50,Single,1,51983,793,24,3,2015-01-01,853
1545,2013-01-13,28,relationship,1,42386,100,7,1,2015-01-01,718
1546,2013-02-09,27,relationship,0,30390,80,6,1,2015-01-01,691
1547,2012-09-11,51,Single,0,30983,167,8,1,2015-01-01,842
1548,2013-01-20,57,Single,1,66033,677,20,2,2015-01-01,711
1549,2013-03-29,39,relationship,2,37284,23,4,1,2015-01-01,643
1550,2013-12-10,63,Single,1,57530,92,7,1,2015-01-01,387
1551,2014-08-03,49,relationship,0,76800,641,16,1,2015-01-01,151
1552,2012-02-09,58,relationship,1,63943,1106,17,1,2015-01-01,1057
1553,2014-05-23,52,relationship,0,76081,1033,14,1,2015-01-01,223
1554,2012-12-08,40,relationship,1,67445,1174,32,5,2015-01-01,754
1555,2013-09-15,47,relationship,2,37054,25,6,2,2015-01-01,473
1556,2012-10-28,52,relationship,2,47175,240,17,7,2015-01-01,795
1557,2013-06-14,38,Single,1,31859,20,4,1,2015-01-01,566
1558,2013-01-23,53,Single,3,27215,102,11,4,2015-01-01,708
1559,2013-07-21,38,Single,1,70179,1034,26,3,2015-01-01,529
1560,2013-02-14,31,relationship,1,39922,156,9,2,2015-01-01,686
1561,2013-04-11,38,relationship,2,49681,458,21,6,2015-01-01,630
1562,2012-01-11,26,relationship,1,24645,17,4,1,2015-01-01,1086
1563,2014-06-18,60,Single,1,79865,792,21,1,2015-01-01,197
1564,2014-06-16,29,relationship,1,44322,92,8,2,2015-01-01,199
1565,2013-01-19,62,Single,1,47958,407,16,2,2015-01-01,712
1566,2012-02-12,50,Single,1,63972,1269,23,4,2015-01-01,1054
1567,2014-04-15,60,relationship,1,75315,841,23,2,2015-01-01,261
1568,2012-09-27,64,relationship,2,55517,633,23,5,2015-01-01,826
1569,2013-03-27,57,relationship,3,75283,1019,25,11,2015-01-01,645
1570,2012-11-24,68,Single,0,82800,1315,26,1,2015-01-01,768
1571,2012-03-11,60,relationship,2,38998,54,8,3,2015-01-01,1026
1572,2014-02-13,23,Single,0,90638,2525,18,1,2015-01-01,322
1573,2013-10-28,28,relationship,1,27161,52,5,1,2015-01-01,430
1574,2012-08-17,37,relationship,1,42014,436,20,6,2015-01-01,867
1575,2013-03-29,54,relationship,1,38201,268,15,4,2015-01-01,643
1576,2014-03-23,32,relationship,2,45203,147,8,1,2015-01-01,284
1577,2014-04-28,67,relationship,0,81574,1798,18,1,2015-01-01,248
1578,2013-06-21,22,relationship,0,34935,137,8,1,2015-01-01,559
1579,2013-01-23,38,Single,1,60482,507,17,1,2015-01-01,708
1580,2014-01-23,58,relationship,3,34633,15,4,1,2015-01-01,343
1581,2013-11-12,67,relationship,0,78093,1105,17,1,2015-01-01,415
1582,2013-02-12,64,Single,0,82460,974,15,1,2015-01-01,688
1583,2014-04-23,48,relationship,1,45903,66,8,2,2015-01-01,253
1584,2014-02-25,27,Single,0,81361,778,27,1,2015-01-01,310
1585,2014-05-19,41,Single,2,35860,49,6,2,2015-01-01,227
1586,2012-08-19,62,relationship,2,40442,169,12,4,2015-01-01,865
1587,2014-06-27,49,relationship,0,61482,299,12,1,2015-01-01,188
1588,2013-10-04,34,relationship,1,34968,221,17,7,2015-01-01,454
1589,2013-12-24,27,relationship,0,75794,1682,25,1,2015-01-01,373
1590,2012-06-12,52,relationship,1,31497,155,10,2,2015-01-01,933
1591,2013-02-14,59,relationship,0,74268,892,13,1,2015-01-01,686
